"Supplemental Table S1. Coordinates, sizes, GC levels and GC standard deviations,",,,,,,,
"of the human isochores identified in this study.",,,,,,,
,,,,,,,
,,,,,,,
"Chr","Band","Start","End","Size (Mb)","GC, %","∆ GC","SD (w=100kb)"
1,"p31.1m",81.9,82.2,0.3,35.2,-2.8,1.06
1,"p31.1n",82.2,82.6,0.4,37.4,2.1,0.53
1,"p31.1o",82.6,83.1,0.5,35.8,-1.6,0.48
1,"p31.1p",83.1,83.3,0.2,37.4,1.7,0.00
1,"p31.1q",83.3,83.7,0.4,36.6,-0.9,0.69
1,"p22.3a",83.7,84.9,1.2,38.0,1.4,1.89
1,"p22.3b",84.9,85.1,0.2,41.5,3.5,0.00
1,"p22.3c",85.1,85.9,0.8,39.7,-1.8,1.47
1,"p22.3d",85.9,86.3,0.4,36.3,-3.4,0.28
1,"p22.3e",86.3,87.8,1.5,39.1,2.7,1.74
1,"p22.2",87.8,89.0,1.2,37.5,-1.5,0.78
1,"p22.1a",89.0,91.2,2.2,39.2,1.6,1.38
1,"p22.1b",91.2,91.4,0.2,41.7,2.5,0.00
1,"p22.1c",91.4,91.7,0.3,38.1,-3.6,1.13
1,"p22.1d",91.7,92.1,0.4,42.4,4.3,0.74
1,"p22.1e",92.1,93.7,1.6,39.2,-3.2,1.44
1,"p22.1f",93.7,94.3,0.6,43.5,4.3,1.88
1,"p22.1g",94.3,94.7,0.4,39.0,-4.5,1.89
1,"p22.1h",94.7,95.3,0.6,42.3,3.3,0.91
1,"p21.3a",95.3,96.0,0.7,38.4,-3.9,0.69
1,"p21.3b",96.0,96.2,0.2,35.6,-2.8,0.00
1,"p21.3c",96.2,97.2,1.0,37.4,1.8,0.93
1,"p21.3d",97.2,98.8,1.6,35.5,-1.9,0.97
1,"p21.2a",98.8,99.3,0.5,37.2,1.8,0.57
1,"p21.2b",99.3,99.6,0.3,36.7,-0.6,0.46
1,"p21.2c",99.6,101.0,1.4,38.4,1.7,0.86
1,"p21.2d",101,101.3,0.3,36.8,1.5,0.12
1,"p21.2e",101.3,101.7,0.4,39.4,-2.6,1.54
1,"p21.1a",101.7,107.2,5.5,35.0,4.5,0.91
1,"p21.1b",107.2,108.7,1.5,38.3,-3.4,1.46
1,"p13.3",108.7,110.9,2.2,45.1,-6.8,3.94
1,"p13.2a",110.9,111.4,0.5,38.7,6.4,1.04
1,"p13.2b",111.4,112.1,0.7,41.8,-3.1,1.68
1,"p13.2c",112.1,112.3,0.2,47.5,-5.7,0.00
1,"p13.2d",112.3,112.9,0.6,42.0,5.5,1.90
1,"p13.2e",112.9,113.1,0.2,46.7,-4.7,0.00
1,"p13.2f",113.1,113.5,0.4,43.4,3.3,0.67
1,"p13.2g",113.5,114.1,0.6,38.2,5.2,1.24
1,"p13.2h",114.1,114.6,0.5,43.6,-5.4,2.19
1,"p13.2i",114.6,115.3,0.7,38.6,5.0,1.90
1,"p13.1a",115.3,116,0.7,42.5,-3.9,1.43
1,"p13.1b",116,116.4,0.4,39.9,2.6,0.61
1,"p13.1c",116.4,117.5,1.1,43.4,-3.4,1.15
1,"p13.1d",117.5,117.8,0.3,38.1,5.2,2.59
1,"p13.1e",117.8,118,0.2,44.6,-6.5,0.00
1,"p12",118,119.2,1.2,37.9,6.8,1.50
1,"p11.2a",119.2,120.1,0.9,42.0,-4.2,1.89
1,"p11.2b",120.1,120.5,0.4,40.2,1.8,0.75
1,"p11.2c",120.5,120.7,0.2,42.4,-2.2,0.00
1,"p11.2d",120.7,121.1,0.4,39.9,2.4,2.01
1,"q21.1a",141.9,142.3,0.4,42.7,"-",5.36
1,"q21.1b",142.3,142.8,0.5,40.6,2.1,1.13
1,"q21.1c",142.8,143.8,1,42.9,-2.3,2.37
1,"q21.1d",143.8,144.2,0.4,39.6,3.3,0.80
1,"q21.1e",144.2,145.4,1.2,42.1,-2.5,2.10
1,"q21.1f",145.4,145.7,0.3,37.9,4.2,2.20
1,"q21.1g",145.7,147.7,2,42.9,-5.0,2.65
1,"q21.1h",147.7,148.2,0.5,47.3,-4.4,1.00
1,"q21.1i",148.2,149.3,1.1,43.2,4.0,2.67
1,"q21.2a",149.3,149.8,0.5,41.4,1.9,0.24
1,"q21.2b",149.8,150,0.2,39.0,2.4,0.00
1,"q21.3a",150,150.2,0.2,44.6,-5.6,0.00
1,"q21.3b",150.2,150.6,0.4,48.6,-4.0,1.53
1,"q21.3c",150.6,151.1,0.5,45.0,3.6,2.99
1,"q21.3d",151.1,151.7,0.6,47.4,-2.4,2.60
1,"q21.3e",151.7,152.1,0.4,52.7,-5.4,1.01
1,"q21.3f",152.1,152.7,0.6,43.8,8.9,1.70
1,"q21.3g",152.7,154,1.3,49.6,-5.8,2.68
1,"q21.3h",154,154.3,0.3,42.7,7.0,0.87
1,"q21.3i",154.3,154.7,0.4,39.5,3.2,0.68
1,"q21.3l",154.7,155,0.3,45.2,-5.8,3.62
1,"q22",155,156.6,1.6,38.4,6.8,2.05
1,"q23.1a",156.6,157,0.4,48.1,-9.7,0.58
1,"q23.1b",157,157.2,0.2,44.2,3.9,0.00
1,"q23.1c",157.2,157.4,0.4,40.6,3.6,0.00
1,"q23.1d",157.4,157.8,0.3,43.5,-2.9,1.36
1,"q23.1e",157.8,158.1,1.1,48.1,-4.6,1.33
1,"q23.1f",158.1,159.2,2,42.8,5.3,3.42
1,"q23.2",159.2,161.2,0.3,38.2,4.6,1.40
1,"q23.3a",161.2,161.5,0.3,41.9,-3.8,0.50
1,"q23.3b",161.5,161.8,1.1,40.5,1.4,0.43
1,"q23.3c",161.8,162.9,0.6,42.6,-2.1,1.28
1,"q24.1",162.9,163.5,0.6,38.6,4.1,1.39
1,"q24.2a",163.5,163.9,0.4,42.3,-3.8,0.66
1,"q24.2b",163.9,164.1,0.2,38.3,4.0,0.00
1,"q24.2c",164.1,164.6,0.5,43.9,-5.6,1.64
1,"q24.2d",164.6,164.8,0.2,37.8,6.0,0.00
1,"q24.2e",164.8,165.2,0.4,42.1,-4.3,0.45
1,"q24.3a",165.2,165.9,0.7,39.6,2.6,0.81
1,"q24.3b",165.9,166.1,0.2,36.2,3.4,0.00
1,"q24.3c",166.1,166.6,0.5,39.0,-2.8,1.21
1,"q24.3d",166.6,166.8,0.2,35.3,3.7,0.00
1,"q24.3e",166.8,168,1.2,38.1,-2.9,0.90
1,"q24.3f",168,168.4,0.4,41.3,-3.1,2.36
1,"q24.3g",168.4,168.8,0.4,38.8,2.5,0.88
1,"q24.3h",168.8,169,0.2,36.7,2.1,0.00
1,"q24.3i",169,171.7,2.7,38.8,-2.2,1.37
1,"q25.1",171.7,172.6,0.9,43.5,-4.7,1.54
1,"q25.2a",172.6,173.5,0.9,38.3,5.2,1.49
1,"q25.2b",173.5,174.1,0.6,41.4,-3.1,0.59
1,"q25.2c",174.1,174.5,0.4,39.4,2.0,0.95
1,"q25.2d",174.5,174.8,0.3,42.4,-3.0,0.89
1,"q25.2e",174.8,175.2,0.4,37.5,4.9,1.39
1,"q25.2f",175.2,176.8,1.6,40.7,-3.2,3.19
1,"q25.2g",176.8,177,0.2,47.6,-6.8,0.00
1,"q25.2h",177,177.6,0.6,38.3,9.3,2.32
1,"q25.3a",177.6,178.5,0.9,44.8,-6.6,2.44
1,"q25.3b",178.5,178.7,0.2,39.7,5.1,0.00
1,"q25.3c",178.7,179.5,0.8,42.6,-2.8,1.44
1,"q25.3d",179.5,179.8,0.3,39.5,3.1,0.32
1,"q25.3e",179.8,180.1,0.3,43.3,-3.9,1.91
1,"q25.3f",180.1,182.5,2.4,39.5,3.8,1.30
1,"q31.1a",182.5,183.2,0.7,36.1,3.4,1.50
1,"q31.1b",183.2,183.5,0.3,37.7,-1.6,0.54
1,"q31.1c",183.5,189.5,6,34.6,3.1,1.14
1,"q31.2",189.5,190.2,0.7,37.5,-2.8,1.19
1,"q31.3a",190.2,194.5,4.3,34.9,2.6,1.05
1,"q31.3b",194.5,194.9,0.4,38.4,-3.5,0.93
1,"q31.3c",194.9,196.6,1.7,36.0,2.3,1.00
1,"q32.1a",196.6,197.6,1,41.0,-5.0,0.94
1,"q32.1b",197.6,198.4,0.8,50.2,-9.1,1.51
1,"q32.1c",198.4,198.6,0.2,45.4,4.8,0.00
1,"q32.1d",198.6,199.1,0.5,48.4,-3.1,3.94
1,"q32.1e",199.1,199.3,0.2,39.8,8.7,0.00
1,"q32.1f",199.3,199.7,0.4,45.6,-5.9,3.58
1,"q32.1g",199.7,200.4,0.7,47.8,-2.2,1.36
1,"q32.1h",200.4,200.7,0.3,43.1,4.7,2.47
1,"q32.1i",200.7,203.6,2.9,46.8,-3.6,2.58
1,"q32.2a",203.6,204.3,0.7,39.1,7.7,1.11
1,"q32.2b",204.3,204.6,0.3,43.8,-4.7,0.91
1,"q32.2c",204.6,204.8,0.2,47.7,-3.9,0.00
1,"q32.2d",204.8,205,0.2,42.5,5.2,0.00
1,"q32.2e",205,205.9,0.9,40.3,2.2,0.75
1,"q32.3a",205.9,206.5,0.6,43.5,-3.2,1.79
1,"q32.3b",206.5,206.8,0.3,37.6,5.9,1.61
1,"q32.3c",206.8,207.4,0.6,42.8,-5.1,1.17
1,"q32.3d",207.4,208,0.6,40.3,2.5,0.72
1,"q32.3e",208,208.5,0.5,44.0,-3.7,3.12
1,"q32.3f",208.5,208.7,0.2,39.1,4.9,0.00
1,"q32.3g",208.7,209.6,0.9,43.6,-4.5,1.97
1,"q32.3h",209.6,209.9,0.3,38.7,4.8,1.37
1,"q32.3i",209.9,210.5,0.6,41.8,-3.1,1.15
1,"q32.3l",210.5,210.8,0.3,40.6,1.2,0.29
1,"q32.3m",210.8,211,0.2,41.8,-1.2,0.00
1,"q41a",211,212.3,1.3,38.1,3.7,1.57
1,"q41b",212.3,213.2,0.9,36.1,2.1,0.68
1,"q41c",213.2,214,0.8,38.4,-2.4,1.02
1,"q41d",214,214.4,0.4,36.1,2.4,0.84
1,"q41e",214.4,215.5,1.1,38.5,-2.4,1.43
1,"q41f",215.5,215.8,0.3,36.0,2.5,0.32
1,"q41g",215.8,217.2,1.4,39.2,-3.2,1.44
1,"q41h",217.2,217.5,0.3,42.4,-3.3,1.40
1,"q41i",215.5,219.6,4.1,39.4,3.1,2.14
1,"q42.11",219.6,221.4,1.8,43.6,-4.2,1.86
1,"q42.12",221.4,221.9,0.5,37.4,6.2,0.51
1,"q42.13a",221.9,223.5,1.6,45.9,-8.5,3.16
1,"q42.13b",223.5,223.8,0.3,40.9,5.0,4.53
1,"q42.13c",223.8,224.2,0.4,42.3,-1.4,1.62
1,"q42.13d",224.2,225.1,0.9,51.7,-9.4,2.86
1,"q42.13e",225.1,226.7,1.6,43.9,7.8,1.76
1,"q42.13f",226.7,226.9,0.2,47.4,-3.5,0.00
1,"q42.2a",226.9,227.8,0.9,43.7,3.7,1.78
1,"q42.2b",227.8,228,0.2,39.3,4.4,0.00
1,"q42.2c",228,229.5,1.5,42.0,-2.7,1.23
1,"q42.2d",229.5,230.5,1,40.1,1.9,0.82
1,"q42.3a",230.5,231.3,0.8,43.5,-3.4,1.87
1,"q42.3b",231.3,231.6,0.3,46.6,-3.1,0.43
1,"q42.3c",231.6,233.6,2,42.4,4.2,2.65
1,"q43a",233.6,234.9,1.3,38.4,4.0,1.54
1,"q43b",234.9,235.7,0.8,36.1,2.4,0.79
1,"q43c",235.7,240.4,4.7,39.6,-3.5,2.04
1,"q44a",240.4,240.9,0.5,43.5,-3.8,1.15
1,"q44b",240.9,241.1,0.2,39.1,4.4,0.00
1,"q44c",241.1,242.5,1.4,43.7,-4.6,1.64
1,"q44d",242.5,242.9,0.4,39.4,4.3,0.59
1,"q44e",242.9,244,1.1,43.1,-3.7,1.92
1,"q44f",244,245.3,1.3,38.2,4.9,1.63
1,"q44g",245.3,245.6,0.3,44.6,-6.4,0.00
,,,,,,,
2,"p25.3a",0,1.4,1.4,43.9,"-",1.48
2,"p25.3b",1.4,1.9,0.5,49.3,-5.4,1.51
2,"p25.3c",1.9,2.6,0.7,42.7,6.6,2.25
2,"p25.3d",2.6,3.3,0.7,47.4,-4.8,3.33
2,"p25.3e",3.3,3.6,0.3,42.9,4.5,0.53
2,"p25.2a",3.6,4.5,0.9,38.2,4.7,1.31
2,"p25.2b",4.5,5.1,0.6,47.5,-9.3,2.02
2,"p25.2c",5.1,5.4,0.3,37.6,10.0,0.38
2,"p25.2d",5.4,6.1,0.7,41.5,-3.9,0.66
2,"p25.2e",6.1,6.8,0.7,39.2,2.3,0.78
2,"p25.2f",6.8,7.5,0.7,42.3,-3.1,1.53
2,"p25.2g",7.5,8,0.5,40.0,2.3,1.45
2,"p25.1a",8,8.5,0.5,42.7,-2.7,1.26
2,"p25.1b",8.5,8.8,0.3,48.4,-5.7,1.95
2,"p25.1c",8.8,9.2,0.4,40.5,7.9,1.45
2,"p25.1d",9.2,9.5,0.3,46.8,-6.3,0.63
2,"p25.1e",9.5,10.1,0.6,44.5,2.2,3.52
2,"p25.1f",10.1,11.2,1.1,48.7,-4.2,3.30
2,"p25.1g",11.2,11.6,0.4,42.3,6.4,3.78
2,"p25.1h",11.6,11.9,0.3,47.2,-5.0,1.28
2,"p25.1i",11.9,12.3,0.4,42.9,4.4,1.77
2,"p24.3a",12.3,13.1,0.8,39.9,3.0,1.58
2,"p24.3b",13.1,14.4,1.3,35.6,4.3,0.71
2,"p24.3c",14.4,15.7,1.3,39.3,-3.7,1.47
2,"p24.2a",15.7,16.3,0.6,46.3,-7.0,1.33
2,"p24.2b",16.3,16.9,0.6,42.2,4.0,1.74
2,"p24.1a",16.9,17.5,0.6,38.3,3.9,0.66
2,"p24.1b",17.5,17.7,0.2,36.2,2.1,0.00
2,"p24.1c",17.7,18.1,0.4,40.9,-4.6,2.73
2,"p24.1d",18.1,19.7,1.6,39.2,1.7,1.29
2,"p23.3",19.7,21.5,1.8,43.4,-4.2,4.62
2,"p23.2a",21.5,22.1,0.6,38.1,5.3,1.48
2,"p23.2b",22.1,22.6,0.5,36.4,1.7,0.88
2,"p23.2c",22.6,23.1,0.5,38.3,-1.9,1.06
2,"p23.1a",23.1,23.6,0.5,43.6,-5.3,1.86
2,"p23.1b",23.6,23.8,0.2,51.3,-7.7,0.00
2,"p23.1c",23.8,24.6,0.8,42.2,9.1,2.92
2,"p23.1d",24.6,24.9,0.3,37.7,4.5,1.93
2,"p23.1e",24.9,28,3.1,46.1,-8.5,3.68
2,"p23.1f",28,28.4,0.4,38.4,7.7,1.59
2,"p23.1g",28.4,31.6,3.2,43.9,-5.5,3.01
2,"p22.3a",31.6,32.1,0.5,38.7,5.2,1.40
2,"p22.3b",32.1,32.5,0.4,41.7,-3.0,1.38
2,"p22.3c",32.5,34.7,2.2,39.4,2.4,1.70
2,"p22.3d",34.7,36.2,1.5,35.9,3.4,1.17
2,"p22.2a",36.2,37.7,1.5,39.5,-3.6,1.19
2,"p22.2b",37.7,39.8,2.1,41.1,-1.6,2.36
2,"p22.1a",39.8,40.6,0.8,38.7,2.4,0.77
2,"p22.1b",40.6,41.5,0.9,35.1,3.5,0.76
2,"p22.1c",41.5,42,0.5,38.6,-3.5,1.59
2,"p21a",42,42.3,0.3,46.0,-7.5,1.94
2,"p21b",42.3,42.5,0.2,39.0,7.0,0.00
2,"p21c",42.5,42.9,0.4,43.0,-4.0,1.70
2,"p21d",42.9,43.4,0.5,49.5,-6.5,1.32
2,"p21e",43.4,44.1,0.7,39.9,9.6,2.26
2,"p21f",44.1,44.3,0.2,42.7,-2.8,0.00
2,"p21g",44.3,44.9,0.6,38.5,4.3,1.37
2,"p21h",44.9,45.5,0.6,45.3,-6.9,2.33
2,"p21i",45.5,45.8,0.3,37.7,7.7,2.33
2,"p21l",45.8,46.7,0.9,44.4,-6.7,1.01
2,"p21m",46.7,46.9,0.2,39.3,5.1,0.00
2,"p21n",46.9,48,1.1,45.7,-6.5,2.63
2,"p16.3a",48,49.5,1.5,39.9,5.8,1.39
2,"p16.3b",49.5,54.1,4.6,36.3,3.6,1.52
2,"p16.2a",54.1,55.3,1.2,40.9,-4.6,1.74
2,"p16.2b",55.3,56.6,1.3,39.1,1.8,1.19
2,"p16.1a",56.6,58.4,1.8,35.6,3.5,0.59
2,"p16.1b",58.4,58.7,0.3,37.4,-1.8,0.20
2,"p16.1c",58.7,59,0.3,36.8,0.5,0.05
2,"p16.1d",59,60.2,1.2,38.4,-1.5,1.33
2,"p15a",60.2,61,0.8,43.1,-4.7,1.67
2,"p15b",61,61.6,0.6,39.6,3.5,1.48
2,"p15c",61.6,62.7,1.1,42.8,-3.1,1.66
2,"p14a",62.7,64.4,1.7,38.1,4.7,1.38
2,"p14b",64.4,66.1,1.7,43.0,-4.9,1.76
2,"p14c",66.1,68.9,2.8,39.0,4.0,1.49
2,"p13.3a",68.9,71.4,2.5,43.2,-4.2,2.18
2,"p13.3b",71.4,71.6,0.2,39.3,4.0,0.00
2,"p13.3c",71.6,72.3,0.7,47.4,-8.2,2.59
2,"p13.2a",72.3,72.6,0.3,37.9,9.5,1.41
2,"p13.2b",72.6,72.8,0.2,35.8,2.1,0.00
2,"p13.2c",72.8,73,0.2,38.4,-2.6,0.00
2,"p13.1a",73,73.5,0.5,47.9,-9.5,1.94
2,"p13.1b",73.5,73.8,0.3,39.5,8.5,1.21
2,"p13.1c",73.8,75.2,1.4,44.9,-5.4,3.17
2,"p12a",75.2,76.1,0.9,39.3,5.6,1.39
2,"p12b",76.1,78.9,2.8,35.3,4.0,0.95
2,"p12c",78.9,80.9,2,38.6,-3.3,1.35
2,"p12d",80.9,83.9,3,35.5,3.1,0.74
2,"p12e",83.9,84.9,1,38.5,-3.0,1.33
2,"p11.2a",84.9,85.3,0.4,43.6,-5.1,1.57
2,"p11.2b",85.3,86.2,0.9,47.7,-4.1,1.62
2,"p11.2c",86.2,86.5,0.3,43.8,3.9,1.17
2,"p11.2d",86.5,86.9,0.4,40.0,3.8,0.52
2,"p11.2e",86.9,87.1,0.2,43.1,-3.1,0.00
2,"p11.2f",87.1,87.3,0.2,39.1,3.9,0.00
2,"p11.2g",87.3,90.1,2.8,42.1,-3.0,2.90
2,"q11.2a",94.8,95.9,1.1,44.5,"-",4.10
2,"q11.2b",95.9,96.1,0.2,37.8,6.7,0.00
2,"q11.2c",96.1,97.1,1,49.0,-11.1,2.57
2,"q11.2d",97.1,99,1.9,42.1,6.8,3.08
2,"q11.2e",99,99.3,0.3,39.2,2.9,2.65
2,"q11.2f",99.3,102.4,3.1,42.8,-3.6,1.89
2,"q11.2g",102.4,103.3,0.9,39.0,3.8,1.43
2,"q12.1a",103.3,104.3,1,35.8,3.2,0.59
2,"q12.1b",104.3,104.8,0.5,39.3,-3.5,1.44
2,"q12.2a",104.8,105,0.2,44.1,-4.8,0.00
2,"q12.2b",105,105.2,0.2,39.4,4.7,0.00
2,"q12.2c",105.2,106.7,1.5,43.5,-4.2,1.26
2,"q12.3a",106.7,108.3,1.6,38.7,4.8,1.29
2,"q12.3b",108.3,108.8,0.5,41.1,-2.4,1.15
2,"q12.3c",108.8,109,0.2,39.6,1.5,0.00
2,"q13a",109,109.6,0.6,47.9,-8.3,1.58
2,"q13b",109.6,110.1,0.5,43.5,4.4,2.03
2,"q13c",110.1,110.9,0.8,45.6,-2.1,6.32
2,"q13d",110.9,112.5,1.6,43.2,2.4,1.55
2,"q13e",112.5,112.9,0.4,40.8,2.4,3.01
2,"q13f",112.9,113.6,0.7,43.5,-2.7,1.61
2,"q13g",113.6,113.8,0.2,48.6,-5.1,0.00
2,"q13h",113.8,114.2,0.4,42.4,6.2,2.16
2,"q14.1a",114.2,115.3,1.1,39.1,3.3,1.21
2,"q14.1b",115.3,118.1,2.8,36.6,2.5,1.10
2,"q14.2a",118.1,118.8,0.7,41.4,-4.8,1.19
2,"q14.2b",118.8,119,0.2,39.8,1.5,0.00
2,"q14.2c",119,120.2,1.2,44.7,-4.8,2.46
2,"q14.2d",120.2,120.6,0.4,38.4,6.3,1.18
2,"q14.2e",120.6,121.9,1.3,48.9,-10.5,3.37
2,"q14.2f",121.9,122.7,0.8,43.2,5.7,1.80
2,"q14.3a",122.7,123.3,0.6,38.4,4.9,1.15
2,"q14.3b",123.3,124.5,1.2,35.9,2.4,1.01
2,"q14.3c",124.5,125.5,1,38.9,-3.0,0.48
2,"q14.3d",125.5,126.5,1,36.5,2.4,0.87
2,"q14.3e",126.5,127.1,0.6,38.4,-1.9,1.04
2,"q21.1",127.1,132.4,5.3,45.0,-6.6,3.61
2,"q21.2a",132.4,132.8,0.4,37.8,7.2,1.94
2,"q21.2b",132.8,133.3,0.5,42.5,-4.8,1.29
2,"q21.2c",133.3,134.1,0.8,39.2,3.3,1.02
2,"q21.3a",134.1,135.4,1.3,42.2,-3.0,1.95
2,"q21.3b",135.4,136.3,0.9,39.0,3.2,1.10
2,"q21.3c",136.3,137.1,0.8,42.1,-3.1,1.61
2,"q22.1a",137.1,138,0.9,38.5,3.6,1.05
2,"q22.1b",138,138.2,0.2,36.9,1.6,0.00
2,"q22.1c",138.2,138.8,0.6,37.7,-0.8,0.62
2,"q22.1d",138.8,139,0.2,36.8,0.9,0.00
2,"q22.1e",139,139.4,0.4,38.3,-1.5,1.25
2,"q22.1f",139.4,139.6,0.2,37.7,0.6,0.00
2,"q22.1g",139.6,143.4,3.8,35.3,2.4,0.80
2,"q22.1h",143.4,143.6,0.2,37.5,-2.2,0.00
2,"q22.1i",143.6,144.2,0.6,36.1,1.4,0.56
2,"q22.2a",144.2,144.7,0.5,38.2,-2.1,0.82
2,"q22.2b",144.7,144.9,0.2,36.3,1.9,0.00
2,"q22.2c",144.9,145.3,0.4,38.3,-2.0,0.91
